# Sample Swim Data - Fake data for testing
# Format: swimmerId,name,birthYear,sex,distance,stroke,course,date,timeSeconds
S001,Emma Johnson,2005,F,100,Free,SCY,2024-01-15,56.78
S001,Emma Johnson,2005,F,200,Free,SCY,2024-01-15,125.45
S001,Emma Johnson,2005,F,100,Free,SCY,2024-02-10,55.92
S001,Emma Johnson,2005,F,200,Free,SCY,2024-02-10,123.87
S001,Emma Johnson,2005,F,100,Free,SCY,2024-03-05,55.15
S001,Emma Johnson,2005,F,200,Free,SCY,2024-03-05,122.34
S001,Emma Johnson,2005,F,100,Free,SCY,2024-03-20,54.89
S001,Emma Johnson,2005,F,200,Free,SCY,2024-03-20,121.56
S001,Emma Johnson,2005,F,100,Free,SCY,2024-04-12,54.23
S001,Emma Johnson,2005,F,200,Free,SCY,2024-04-12,120.78
S002,Michael Chen,2004,M,100,Back,SCY,2024-01-15,52.45
S002,Michael Chen,2004,M,200,Back,SCY,2024-01-15,114.32
S002,Michael Chen,2004,M,100,Back,SCY,2024-02-10,51.89
S002,Michael Chen,2004,M,200,Back,SCY,2024-02-10,113.45
S002,Michael Chen,2004,M,100,Back,SCY,2024-03-05,51.12
S002,Michael Chen,2004,M,200,Back,SCY,2024-03-05,112.23
S002,Michael Chen,2004,M,100,Back,SCY,2024-03-20,50.78
S002,Michael Chen,2004,M,200,Back,SCY,2024-03-20,111.56
S002,Michael Chen,2004,M,100,Back,SCY,2024-04-12,50.34
S002,Michael Chen,2004,M,200,Back,SCY,2024-04-12,110.89
S003,Sofia Rodriguez,2005,F,100,Breast,SCY,2024-01-15,68.90
S003,Sofia Rodriguez,2005,F,200,Breast,SCY,2024-01-15,148.76
S003,Sofia Rodriguez,2005,F,100,Breast,SCY,2024-02-10,67.45
S003,Sofia Rodriguez,2005,F,200,Breast,SCY,2024-02-10,146.89
S003,Sofia Rodriguez,2005,F,100,Breast,SCY,2024-03-05,66.23
S003,Sofia Rodriguez,2005,F,200,Breast,SCY,2024-03-05,144.56
S003,Sofia Rodriguez,2005,F,100,Breast,SCY,2024-03-20,65.78
S003,Sofia Rodriguez,2005,F,200,Breast,SCY,2024-03-20,143.12
S003,Sofia Rodriguez,2005,F,100,Breast,SCY,2024-04-12,64.95
S003,Sofia Rodriguez,2005,F,200,Breast,SCY,2024-04-12,141.67
S004,James Wilson,2003,M,100,Fly,SCY,2024-01-15,51.23
S004,James Wilson,2003,M,200,Fly,SCY,2024-01-15,112.45
S004,James Wilson,2003,M,100,Fly,SCY,2024-02-10,50.67
S004,James Wilson,2003,M,200,Fly,SCY,2024-02-10,111.23
S004,James Wilson,2003,M,100,Fly,SCY,2024-03-05,49.89
S004,James Wilson,2003,M,200,Fly,SCY,2024-03-05,109.78
S004,James Wilson,2003,M,100,Fly,SCY,2024-03-20,49.12
S004,James Wilson,2003,M,200,Fly,SCY,2024-03-20,108.45
S004,James Wilson,2003,M,100,Fly,SCY,2024-04-12,48.56
S004,James Wilson,2003,M,200,Fly,SCY,2024-04-12,107.23
S005,Olivia Kim,2004,F,200,IM,SCY,2024-01-15,135.67
S005,Olivia Kim,2004,F,400,IM,SCY,2024-01-15,285.45
S005,Olivia Kim,2004,F,200,IM,SCY,2024-02-10,133.89
S005,Olivia Kim,2004,F,400,IM,SCY,2024-02-10,282.34
S005,Olivia Kim,2004,F,200,IM,SCY,2024-03-05,131.56
S005,Olivia Kim,2004,F,400,IM,SCY,2024-03-05,279.12
S005,Olivia Kim,2004,F,200,IM,SCY,2024-03-20,129.78
S005,Olivia Kim,2004,F,400,IM,SCY,2024-03-20,276.45
S005,Olivia Kim,2004,F,200,IM,SCY,2024-04-12,128.34
S005,Olivia Kim,2004,F,400,IM,SCY,2024-04-12,273.89
S006,Daniel Brown,2005,M,50,Free,SCY,2024-01-15,23.45
S006,Daniel Brown,2005,M,100,Free,SCY,2024-01-15,51.23
S006,Daniel Brown,2005,M,50,Free,SCY,2024-02-10,23.12
S006,Daniel Brown,2005,M,100,Free,SCY,2024-02-10,50.67
S006,Daniel Brown,2005,M,50,Free,SCY,2024-03-05,22.89
S006,Daniel Brown,2005,M,100,Free,SCY,2024-03-05,49.78
S006,Daniel Brown,2005,M,50,Free,SCY,2024-03-20,22.56
S006,Daniel Brown,2005,M,100,Free,SCY,2024-03-20,48.95
S006,Daniel Brown,2005,M,50,Free,SCY,2024-04-12,22.34
S006,Daniel Brown,2005,M,100,Free,SCY,2024-04-12,48.12
S007,Ava Martinez,2003,F,100,Back,SCY,2024-01-15,61.34
S007,Ava Martinez,2003,F,200,Back,SCY,2024-01-15,132.45
S007,Ava Martinez,2003,F,100,Back,SCY,2024-02-10,60.78
S007,Ava Martinez,2003,F,200,Back,SCY,2024-02-10,130.89
S007,Ava Martinez,2003,F,100,Back,SCY,2024-03-05,59.23
S007,Ava Martinez,2003,F,200,Back,SCY,2024-03-05,128.67
S007,Ava Martinez,2003,F,100,Back,SCY,2024-03-20,58.45
S007,Ava Martinez,2003,F,200,Back,SCY,2024-03-20,126.78
S007,Ava Martinez,2003,F,100,Back,SCY,2024-04-12,57.89
S007,Ava Martinez,2003,F,200,Back,SCY,2024-04-12,125.34
S008,Ethan Taylor,2004,M,100,Breast,SCY,2024-01-15,63.45
S008,Ethan Taylor,2004,M,200,Breast,SCY,2024-01-15,138.90
S008,Ethan Taylor,2004,M,100,Breast,SCY,2024-02-10,62.78
S008,Ethan Taylor,2004,M,200,Breast,SCY,2024-02-10,136.45
S008,Ethan Taylor,2004,M,100,Breast,SCY,2024-03-05,61.23
S008,Ethan Taylor,2004,M,200,Breast,SCY,2024-03-05,133.89
